AÑO ESTRENO;PELÍCULA ;GÉNERO;SUBGÉNERO ;DIRECTOR;ACTOR PRINCIPAL;PRODUCTORA/ESTUDIO;RECAUDACIÓN DOMÉSTICA;RECAUDACIÓN INTERNACIONAL;LUGAR;
1998;Thin Red Line;Bélico;Drama bélico ;Terrence Malick;Jim Caviezel;20th Century Fox;$36.400.491;$61.726.074;Nominada;
1998;La Vita´e Belle;Drama;Comedia dramática ;Roberto Benigni;Roberto Benigni;Miramax;$57.563.264;$172.535.749;Nominada;
1997;Titanic;Romance;Drama;James Cameron;Leonardo DiCaprio;20th Century Fox;$674.354.882;$1.590.450.697;Ganadora;
1997;As Good as it Gets;Comedia;Comedia dramática ;James L. Brooks;Jack Nicholson;Sony Pictures;$148.478.011;$165.700.000;Nominada;
1997;The Full Monty;Comedia;Comedia dramática ;Peter Cattaneo;Robert Carlyle;Searchlight Pictures;$45.950.122;$211.988.527;Nominada;
1997;Good Will Hunting;Drama;Drama psicológico;Gus Van Sant;Matt Damon;Miramax;$138.433.435;$87.500.000;Nominada;
1997;L.A Confidential;Cine negro;Thriller ;Curtis Hanson;Kevin Spacey;Warner Bros.;$64.616.940;$61.600.000;Nominada;
1996;The English Patient;Drama;Romance;Anthony Minghella;Ralph Fiennes;Miramax;$78.676.425;$153.300.000;Ganadora;
1996;Fargo;Thriller;Crimen ;Joel Coen;Frances McDormand;Gramercy Pictures;$24.611.975;$36.000.000;Nominada;
1996;Jerry Maguire;Comedia;Drama deportivo;Cameron Crowe;Tom Cruise;Sony Pictures;$153.952.592;$119.600.000;Nominada;
1996;Secrets and Lies;Drama;Drama social ;Mike Leigh;Brenda Blethyn;October Films;$13.417.292;$13.417.292;Nominada;
1996;Shine;Drama;Biográfico ;Scott Hicks;Geoffrey Rush;Fine Line Features;$35.892.330;$106.751;Nominada;
1995;Braveheart;Épico;Histórico ;Mel Gibson;Mel Gibson;Paramount Pictures;$75.609.945;$137.606.271;Ganadora;
1995;Apolo 13;Drama;Histórico;Ron Howard;Tom Hanks;Universal Pictures;$174.692.658;$181.077.570;Nominada;
1995;Babe;Familiar;Comedia;Chris Noonan;James Cromwell;Universal Pictures;$63.658.910;$190.476.000;Nominada;
1995;Il postino;Drama;Romance;Michael Radford;Massimo Troisi;Miramax;$21.848.932;$53.758;Nominada;
1995;Sense and Sensibility;Romance;Drama de época;Ang Lee;Emma Thompson;Columbia Pictures;$43.436.071;$91.400.000;Nominada;
1994;Forrest Gump;Comedia;Drama;Robert Zemeckis;Tom Hanks;Paramount Pictures;$330.455.270;$347.771.195;Ganadora;
1994;Four  Weddings and a Funeral;Comedia;Comedia romántica;Mike Newell;Hugh Grant;Gramercy Pictures;$52.700.832;$193.000.000;Nominada;
1994;Pulp Fiction;Crimen;Comedia negra;Quentin Tarantino;John Travolta;Miramax;$107.928.762;$106.000.000;Nominada;
1994;Quiz Show;Drama;Histórico;Robert Redford;Ralph Fiennes;Hollywood Pictures;$24.822.619;$24.822.619;Nominada;
1994;The Shawshank Redemption;Drama;Drama carcelario;Frank Darabont;Tim Robbins;Columbia Pictures;$28.767.189;$628.170;Nominada;
1993;Schindler's List;Drama;Histórico;Steven Spielberg;Liam Neeson;Universal Pictures;$96.898.818;$225.262.427;Ganadora;
1993;The Fugitive;Thriller;Acción;Andrew Davis;Harrison Ford;Warner Bros.;$183.875.760;$183.875.760;Nominada;
1993;In The Name of the Father;Drama;Judicial;Jim Sheridan;Daniel Day-Lewis;Universal Pictures;$25.096.862;$40.700.000;Nominada;
1993;The Piano;Drama;Romance;Jane Campion;Holly Hunter;Miramax;$40.157.856;$27.700;Nominada;
1993;Remains of the Days;Drama;Romance;James Ivory;Anthony Hopkins;Columbia Pictures;$23.237.911;$23.237.911;Nominada;
1992;Unforgiven;Western;Drama;Clint Eastwood;Clint Eastwood;Warner Bros.;$101.167.799;$58.000.000;Ganadora;
1992;The Crying Game;Drama;Thriller ;Neil Jordan;Stephen Rea;Miramax;$62.548.947;$139;Nominada;
1992;A Few Good Men;Drama;Judicial;Rob Reiner;Tom Cruise;Columbia Pictures;$141.340.178;$101.900.000;Nominada;
1992;Howards End;Drama;Romance;James Ivory;Anthony Hopkins;Columbia Pictures;$26.126.837;$348.226;Nominada;
1992;Scent of a Woman;Drama;Drama personal;Martin Brest;Al Pacino;Universal Pictures;$63.095.253;$71.000.000;Nominada;
1991;The Silence of the Lambs;Thriller;Psicológico;Jonathan Demme;Jodie Foster;Orion Pictures;$130.742.922;$142.000.000;Ganadora;
1991;Beauty and the Beast;Animación;Musical;Gary Trousdale / Kirk Wise;Bella;Walt Disney Pictures;$218.967.620;$232.323.678;Nominada;
1991;Bugsy;Drama;Crimen;Barry Levinson;Warren Beatty;TriStar Pictures;$49.114.016;$49.114.016;Nominada;
1991;J.F.K ;Drama;Histórico;Oliver Stone;Kevin Costner;Warner Bros.;$70.405.498;$135.000.000;Nominada;
1991;The Prince of Tides;Drama;Romance;Barbra Streisand;Barbra Streisand;Columbia Pictures;$74.787.599;$74.787.599;Nominada;
1990;Dances With Wolves;Western;Drama;Kevin Costner;Kevin Costner;Orion Pictures;$184.208.848;$240.000.000;Ganadora;
1990;The Godfather Part III;Crimen;Drama;Francis Ford Coppola;Al Pacino;Paramount Pictures;$66.761.392;$70.100.000;Nominada;
1990;Ghost;Fantasía;Romance;Jerry Zucker;Patrick Swayze;Paramount Pictures;$217.631.306;$288.072.251;Nominada;
1990;Goodfellas;Crimen;Drama;Martin Scorsese;Ray Liotta;Warner Bros.;$46.909.721;$127.063;Nominada;
1990;Awakenings;Drama;Biográfica;Penny Marshall;Robert De Niro;Columbia Pictures;$52.096.475;$52.096.475;Nominada;
1989;Driving Miss Daisy;Drama;Comedia;Bruce Beresford;Jessica Tandy;Warner Bros.;$106.593.296;$39.200.000;Ganadora;
1989;Born on the Fourth of July;Drama;Bélico;Oliver Stone;Tom Cruise;Universal Pictures;$70.001.698;$91.000.000;Nominada;
1989;Dead Poets Society;Drama;Educación;Peter Weir;Robin Williams;Touchstone Pictures;$95.860.116;$140.000.000;Nominada;
1989;Field of Dreams;Fantasía;Drama;Phil Alden Robinson;Kevin Costner;Universal Pictures;$64.532.235;$20.000.000;Nominada;
1989;My Left Foot;Drama;Biográfico;Jim Sheridan;Daniel Day-Lewis;Miramax;$14.743.391;$14.743.391;Nominada;
1988;Rain Man;Drama;Drama ;Barry Levinson;Dustin Hoffman;MGM;$172.825.435;$182.000.000;Ganadora;
1988;The Accidental Tourist;Drama;Comedia ;Lawrence Kasdan;William Hurt;Warner Bros.;$32.632.093;$32.632.093;Nominada;
1988;Dangerous Liaisons;Drama;Romance;Stephen Frears;Glenn Close;Warner Bros.;$34.670.720;$34.670.720;Nominada;
1988;Mississippi Burning;Drama;Crimen;Alan Parker;Gene Hackman;Orion Pictures;$34.603.943;$34.603.943;Nominada;
1988;Working Girl;Comedia;Comedia romántica;Mike Nichols;Melanie Griffith;20th Century Fox;$63.779.477;$39.173.635;Nominada;
1987;The Last Emperor;Drama;Histórico;Bernardo Bertolucci;John Lone;Columbia Pictures;$43.984.230;$58.051;Ganadora;
1987;Broadcast News;Comedia;Comedia dramática;James L. Brooks;Holly Hunter;20th Century Fox;$51.249.404;$16.081.905;Nominada;
1987;Fatal Attraction;Thriller;Psicológico;Adrian Lyne;Glenn Close;Paramount Pictures;$156.645.693;$163.500.000;Nominada;
1987;Hope and Glory;Drama;Comedia dramática;John Boorman;Sebastian Rice-Edwards;Columbia Pictures;$10.021.120;$10.021.120;Nominada;
1987;Moonstruck;Comedia;Romance;Norman Jewison;Cher;MGM;$80.640.528;$1.677;Nominada;
1986;Platoon;Bélico;Drama bélico;Oliver Stone;Charlie Sheen;Orion Pictures;$138.530.565;$15.690;Ganadora;
1986;Children of a Lesser God;Drama;Romance;Randa Haines;William Hurt;Paramount Pictures;$31.853.080;$31.853.080;Nominada;
1986;Hannah and Her Sisters;Comedia;Drama;Woody Allen;Mia Farrow;Orion Pictures;$40.084.041;$40.084.041;Nominada;
1986;The Mission;Drama;Histórico;Roland Joffé;Robert De Niro;Warner Bros.;$17.218.023;$284.476;Nominada;
1986;A Room with a View;Romance;Drama de época;James Ivory;Helena Bonham Carter;Goldcrest Films;$20.966.644;$3.592.656;Nominada;
1985;Out of Africa;Drama;Romance;Sydney Pollack;Meryl Streep;Universal Pictures;$87.071.205;$140.443.000;Ganadora;
1985;The Color Purple;Drama;Drama;Steven Spielberg;Whoopi Goldberg;Warner Bros.;$98.467.863;$98.467.863;Nominada;
1985;Kiss of the Spider Woman;Drama;Drama político;Héctor Babenco;William Hurt;Island Pictures;$17.005.229;$4.425;Nominada;
1985;Prizzi's Honor;Comedia;Comedia negra;John Huston;Jack Nicholson;20th Century Fox;$26.657.534;$26.657.534;Nominada;
1985;Witness;Thriller;Crimen ;Peter Weir;Harrison Ford;Paramount Pictures;$68.706.993;$466;Nominada;
1984;Amadeus;Drama;Biográfico ;Miloš Forman;F. Murray Abraham;Orion Pictures;$51.973.029;$284.796;Ganadora;
1984;The Killing Fields;Drama;Bélico;Roland Joffé;Sam Waterston;Warner Bros.;$34.700.291;$34.700.291;Nominada;
1984;A Passage to India;Drama;Histórico;David Lean;Judy Davis;Columbia Pictures;$27.187.653;$5.818.452;Nominada;
1984;Places in the Heart;Drama;Drama social;Robert Benton;Sally Field;TriStar Pictures;$34.901.614;$34.901.614;Nominada;
1984;A Soldier's Story;Drama;Crimen ;Norman Jewison;Howard E. Rollins Jr.;Columbia Pictures;$21.821.347;$21.821.347;Nominada;
1983;Terms of Endearment;Drama;Comedia dramática ;James L. Brooks;Shirley MacLaine;Paramount Pictures;$108.423.489;$260;Ganadora;
1983;The Big Chill;Drama;Comedia dramática ;Lawrence Kasdan;Glenn Close;Columbia Pictures;$56.399.659;$373;Nominada;
1983;The Dresser;Drama;Drama teatral;Peter Yates;Albert Finney;Columbia Pictures;$5.310.748;$5.310.748;Nominada;
1983;The Right Stuff;Drama;Histórico;Philip Kaufman;Sam Shepard;Warner Bros.;$21.192.102;$213;Nominada;
1983;Tender Mercies;Drama;Drama musical;Bruce Beresford;Robert Duvall;Universal Pictures;$8.443.124;$8.443.124;Nominada;
1982;Gandhi;Drama;Biográfico ;Richard Attenborough;Ben Kingsley;Columbia Pictures;$52.767.889;$52.767.889;Nominada;
1982;E.T. the Extra-Terrestrial;Ciencia ficción;Aventura ;Steven Spielberg;E.T.;Universal Pictures;$439.454.989;$357.852.418;Ganadora;
1982;Missing;Drama;Político ;Costa-Gavras;Jack Lemmon;Universal Pictures;$14.000.000;$14.000.000;Nominada;
1982;Tootsie;Comedia;Comedia romántica;Sydney Pollack;Dustin Hoffman;Columbia Pictures;$177.200.000;$285;Nominada;
1982;The Verdict;Drama;Judicial;Sidney Lumet;Paul Newman;20th Century Fox;$53.977.250;$16.488;Nominada;
1981;Chariots of Fire;Drama;Deportivo;Hugh Hudson;Ben Cross;Warner Bros.;$58.972.904;$344.064;Ganadora;
1981;Atlantic City;Drama;Crimen;Louis Malle;Burt Lancaster;Paramount Pictures;$12.729.675;$12.729.675;Nominada;
1981;On Golden Pond;Drama;Familiar;Mark Rydell;Katharine Hepburn;Universal Pictures;$119.285.432;$119.285.432;Nominada;
1981;Raiders of the Lost Ark;Aventura;Aventura ;Steven Spielberg;Harrison Ford;Paramount Pictures;$248.159.971;$141.766.000;Nominada;
1981;Reds;Drama;Histórico ;Warren Beatty;Warren Beatty;Paramount Pictures;$40.382.659;$427;Nominada;
1980;Ordinary People;Drama;Familiar;Robert Redford;Donald Sutherland;Paramount Pictures;$54.766.923;$1.359;Ganadora;
1980;Coal Miner's Daughter;Drama;Biográfico ;Michael Apted;Sissy Spacek;Universal Pictures;$67.182.787;$67.182.787;Nominada;
1980;The Elephant Man;Drama;Biográfico ;David Lynch;John Hurt;Paramount Pictures;$26.010.864;$56.842;Nominada;
1980;Raging Bull;Drama;Biográfico ;Martin Scorsese;Robert De Niro;United Artists;$23.383.987;$19.646;Nominada;
1980;Tess;Drama;Romance;Roman Polanski;Nastassja Kinski;Columbia Pictures;$20.093.330;$7.917;Nominada;
1979;Kramer vs. Kramer;Drama;Familiar;Robert Benton;Dustin Hoffman;Columbia Pictures;$106.260.000;$71;Ganadora;
1979;All That Jazz;Drama;Musical;Bob Fosse;Roy Scheider;20th Century Fox;$37.823.676;$37.823.676;Nominada;
1979;Apocalypse Now;Bélico;Drama;Francis Ford Coppola;Martin Sheen;United Artists;$96.074.376;$9.224.890;Nominada;
1979;Breaking Away;Comedia;Drama;Peter Yates;Dennis Christopher;20th Century Fox;$16.424.918;$16.424.918;Nominada;
1979;Norma Rae;Drama;Drama;Martin Ritt;Sally Field;20th Century Fox;$22.228.000;$22.228.000;Nominada;
1978;The Deer Hunter;Drama;Bélico;Michael Cimino;Robert De Niro;Universal Pictures;$48.979.328;$95.073;Ganadora;
1978;Coming Home;Drama;Bélico ;Hal Ashby;Jane Fonda;United Artists;$32.653.905;$141;Nominada;
1978;Heaven Can Wait;Comedia;Fantástica ;Warren Beatty / Buck Henry;Warren Beatty;Paramount Pictures;$81.640.278;$81.640.278;Nominada;
1978;Midnight Express;Drama;Biográfico;Alan Parker;Brad Davis;Columbia Pictures;$35.000.000;$35.000.000;Nominada;
1978;An Unmarried Woman;Drama;Romance ;Paul Mazursky;Jill Clayburgh;20th Century Fox;;;Nominada;
1977;Annie Hall;Comedia;Comedia romántica;Woody Allen;Woody Allen;United Artists;;;Ganadora;
1977;The Goodbye Girl;Comedia;Comedia romántica;Herbert Ross;Richard Dreyfuss;Warner Bros.;$38.251.425;$43.517;Nominada;
1977;Julia;Drama;Biográfico ;Fred Zinnemann;Jane Fonda;20th Century Fox;$20.714.400;$20.714.400;Nominada;
1977;Star Wars;Ciencia ficción;Aventura ;George Lucas;Mark Hamill;20th Century Fox;$460.998.507;$775.398.507;Nominada;
1977;The Turning Point;Drama;Musical ;Herbert Ross;Anne Bancroft;20th Century Fox;$25.933.445;$25.933.445;Nominada;
